N,insert(N),search(N),remove(N)
20,32,49,12
40,36,26,13
60,47,51,27
80,48,31,32
100,53,36,15
120,39,35,7
140,49,54,10
160,64,50,11
180,59,57,12
200,79,73,12
220,77,73,13
240,84,87,16
260,101,91,18
280,105,100,28
300,185,108,19
320,118,133,26
340,208,204,36
360,208,186,11
380,135,184,12
400,153,139,25
420,224,149,15
440,158,166,15
460,224,223,23
480,289,269,28
500,291,290,20
520,220,200,26
540,140,143,25
560,134,135,17
580,137,146,19
600,138,130,10
620,145,141,12
640,149,141,10
660,157,149,12
680,160,148,12
700,179,171,13
720,171,168,14
740,172,176,13
760,178,164,12
780,190,167,11
800,204,190,15
820,212,195,12
840,223,202,13
860,213,163,9
880,152,145,8
900,158,148,8
920,160,153,10
940,161,174,11
960,162,155,9
980,171,167,11
1000,170,156,10
1020,169,179,11
1040,187,175,9
1060,185,185,14
1080,189,186,12
1100,196,195,9
1120,199,185,10
1140,205,199,13
1160,216,195,12
1180,238,233,13
1200,222,239,11
1220,228,226,16
1240,231,220,11
1260,232,223,15
1280,238,218,15
1300,256,217,13
1320,233,234,16
1340,253,241,12
1360,284,240,14
1380,269,245,15
1400,269,252,12
1420,261,255,15
1440,273,273,12
1460,266,250,14
1480,288,274,13
1500,272,280,13
1520,393,389,13
1540,281,274,14
1560,302,285,15
1580,310,306,16
1600,334,307,18
1620,341,308,14
1640,335,310,19
1660,353,321,17
1680,342,334,13
1700,338,317,15
1720,372,349,15
1740,346,330,18
1760,357,337,20
1780,360,359,17
1800,443,523,19
1820,357,345,21
1840,382,359,16
1860,502,559,30
1880,407,375,20
1900,384,377,16
1920,410,365,19
1940,467,391,19
1960,411,387,17
1980,379,375,17
2000,507,401,17
